VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Duration
2,1/15/2015 14:00,1/15/2015 14:04,1,0.38,-73.99138641,40.7701683,1,N,-73.98978424,40.77473831,cash,4,0,0.5,0,0,0.3,4.8,0:04
2,1/15/2015 14:00,1/15/2015 14:05,2,0.63,-73.95426941,40.77827072,1,N,-73.95627594,40.78404617,credit card,5,0,0.5,1,0,0.3,6.8,0:05
2,1/15/2015 14:00,1/15/2015 14:39,1,12.63,-73.78852844,40.64778519,1,N,-73.97788239,40.68964005,credit card,40,0,0.5,12,0,0.3,52.8,0:39
2,1/15/2015 14:00,1/15/2015 14:10,1,1.2,-73.9940033,40.7513504,1,N,-73.98135376,40.76112366,cash,8.5,0,0.5,0,0,0.3,9.3,0:10
2,1/15/2015 14:00,1/15/2015 14:16,2,1.18,-74.00641632,40.73965454,1,N,-73.98991394,40.73839569,credit card,10.5,0,0.5,2.1,0,0.3,13.4,0:16
2,1/15/2015 14:00,1/15/2015 14:47,1,10.89,-74.00640869,40.73976517,1,N,-73.87119293,40.77421188,credit card,40.5,0,0.5,9.17,5.33,0.3,55.8,0:47
2,1/15/2015 14:00,1/15/2015 14:41,6,10.39,-73.9930954,40.74725723,1,N,-73.86483002,40.77032089,credit card,38,0,0.5,10.83,5.33,0.3,54.96,0:41
2,1/15/2015 14:00,1/15/2015 14:33,5,2.96,-73.96273041,40.77416992,1,N,-73.99333191,40.7498703,cash,20.5,0,0.5,0,0,0.3,21.3,0:33
2,1/15/2015 14:00,1/15/2015 14:10,1,1.18,-73.9825592,40.77320099,1,N,-73.96412659,40.76470947,credit card,8,0,0.5,1.6,0,0.3,10.4,0:10
2,1/15/2015 14:00,1/15/2015 14:14,1,1.62,-73.97618103,40.75120544,1,N,-73.9863739,40.7665863,credit card,10.5,0,0.5,2.1,0,0.3,13.4,0:14
2,1/15/2015 14:00,1/15/2015 14:16,1,1.56,-73.95927429,40.77437592,1,N,-73.97639465,40.76293945,cash,10.5,0,0.5,0,0,0.3,11.3,0:16
2,1/15/2015 14:00,1/15/2015 14:23,5,4.96,-73.97286224,40.74352264,1,N,-73.91412354,40.76496887,cash,19,0,0.5,0,0,0.3,19.8,0:23
